Index,Labels,File Index,Filename,Path
1,L_V1,1,HCP_FS.nii.gz,HCP
2,L_MST,2,HCP_FS.nii.gz,HCP
3,L_V6,3,HCP_FS.nii.gz,HCP
4,L_V2,4,HCP_FS.nii.gz,HCP
5,L_V3,5,HCP_FS.nii.gz,HCP
6,L_V4,6,HCP_FS.nii.gz,HCP
7,L_V8,7,HCP_FS.nii.gz,HCP
8,L_4,8,HCP_FS.nii.gz,HCP
9,L_3b,9,HCP_FS.nii.gz,HCP
10,L_FEF,10,HCP_FS.nii.gz,HCP
11,L_PEF,11,HCP_FS.nii.gz,HCP
12,L_55b,12,HCP_FS.nii.gz,HCP
13,L_V3A,13,HCP_FS.nii.gz,HCP
14,L_RSC,14,HCP_FS.nii.gz,HCP
15,L_POS2,15,HCP_FS.nii.gz,HCP
16,L_V7,16,HCP_FS.nii.gz,HCP
17,L_IPS1,17,HCP_FS.nii.gz,HCP
18,L_FFC,18,HCP_FS.nii.gz,HCP
19,L_V3B,19,HCP_FS.nii.gz,HCP
20,L_LO1,20,HCP_FS.nii.gz,HCP
21,L_LO2,21,HCP_FS.nii.gz,HCP
22,L_PIT,22,HCP_FS.nii.gz,HCP
23,L_MT,23,HCP_FS.nii.gz,HCP
24,L_A1,24,HCP_FS.nii.gz,HCP
25,L_PSL,25,HCP_FS.nii.gz,HCP
26,L_SFL,26,HCP_FS.nii.gz,HCP
27,L_PCV,27,HCP_FS.nii.gz,HCP
28,L_STV,28,HCP_FS.nii.gz,HCP
29,L_7Pm,29,HCP_FS.nii.gz,HCP
30,L_7m,30,HCP_FS.nii.gz,HCP
31,L_POS1,31,HCP_FS.nii.gz,HCP
32,L_23d,32,HCP_FS.nii.gz,HCP
33,L_v23ab,33,HCP_FS.nii.gz,HCP
34,L_d23ab,34,HCP_FS.nii.gz,HCP
35,L_31pv,35,HCP_FS.nii.gz,HCP
36,L_5m,36,HCP_FS.nii.gz,HCP
37,L_5mv,37,HCP_FS.nii.gz,HCP
38,L_23c,38,HCP_FS.nii.gz,HCP
39,L_5L,39,HCP_FS.nii.gz,HCP
40,L_24dd,40,HCP_FS.nii.gz,HCP
